Definiere: Marke	"Ein Zeichen, das geeignet ist, Waren oder Dienstleistungen eines Unternehmens von denjenigen anderer Unternehmen zu unterscheiden (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1 MarkenG</a>). Schutz entsteht durch Eintragung, Verkehrsgeltung oder notorische Bekanntheit (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 1 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__1.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>"	Begriff Grundlagen
"Welcher Begriff wird so definiert?<br><br>Ein Zeichen, das geeignet ist, Waren oder Dienstleistungen eines Unternehmens von denjenigen anderer Unternehmen zu unterscheiden (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1 MarkenG</a>). Schutz entsteht durch Eintragung, Verkehrsgeltung oder notorische Bekanntheit (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>)."	Marke	Begriff Umkehr Grundlagen
Definiere: Funktionen der Marke	"Hauptfunktion ist die Herkunftsfunktion (Garantie der Ursprungsidentität). Daneben schützt der EuGH die Qualitäts- (Garantie-), Kommunikations-, Investitions- und Werbefunktion.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 10 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2 MarkenG</a><br><br>Rechtsprechung: EuGH Arsenal Football Club (C-206/01); EuGH L'Oréal/Bellure (C-487/07); EuGH Interflora/Marks & Spencer (C-323/09); BGH Opel-Blitz II (I ZR 88/08)"	Begriff Grundlagen
Welcher Begriff wird so definiert?<br><br>Hauptfunktion ist die Herkunftsfunktion (Garantie der Ursprungsidentität). Daneben schützt der EuGH die Qualitäts- (Garantie-), Kommunikations-, Investitions- und Werbefunktion.	Funktionen der Marke	Begriff Umkehr Grundlagen
Definiere: Herkunftsfunktion	"Die Hauptfunktion der Marke: Sie garantiert dem Verbraucher die Ursprungsidentität der gekennzeichneten Ware oder Dienstleistung, indem sie ihm ermöglicht, diese ohne Verwechslungsgefahr von Waren anderer Herkunft zu unterscheiden.<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__8.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 8 Abs. 2 Nr. 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2 MarkenG</a><br><br>Rechtsprechung: EuGH Arsenal Football Club (C-206/01); BGH Opel-Blitz II (I ZR 88/08); EuGH Google France und Google (C-236/08 bis C-238/08); EuGH Adam Opel/Autec (C-48/05)"	Begriff Grundlagen
Welcher Begriff wird so definiert?<br><br>Die Hauptfunktion der Marke: Sie garantiert dem Verbraucher die Ursprungsidentität der gekennzeichneten Ware oder Dienstleistung, indem sie ihm ermöglicht, diese ohne Verwechslungsgefahr von Waren anderer Herkunft zu unterscheiden.	Herkunftsfunktion	Begriff Umkehr Grundlagen
"Definiere: Entstehung des Markenschutzes (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4</a>)"	"Markenschutz entsteht (1) durch Eintragung in das Register des DPMA (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 Nr. 1</a>), (2) durch Benutzung im geschäftlichen Verkehr mit Verkehrsgeltung innerhalb der beteiligten Verkehrskreise (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 Nr. 2</a>, Benutzungsmarke) oder (3) durch notorische Bekanntheit i.S.d. Art. 6bis PVÜ (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 Nr. 3</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 37 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 38 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__6.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 6 MarkenG</a>"	Begriff Grundlagen
"Welcher Begriff wird so definiert?<br><br>Markenschutz entsteht (1) durch Eintragung in das Register des DPMA (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 Nr. 1</a>), (2) durch Benutzung im geschäftlichen Verkehr mit Verkehrsgeltung innerhalb der beteiligten Verkehrskreise (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 Nr. 2</a>, Benutzungsmarke) oder (3) durch notorische Bekanntheit i.S.d. Art. 6bis PVÜ (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 Nr. 3</a>)."	"Entstehung des Markenschutzes (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4</a>)"	Begriff Umkehr Grundlagen
Definiere: Vorrang und Zeitrang (Prioritätsprinzip)	"Bei der Kollision von Kennzeichenrechten hat das Recht mit dem älteren Zeitrang Vorrang (<a href=""https://www.gesetze-im-internet.de/markeng/__6.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 6 Abs. 1</a>). Zeitrang der Registermarke ist der Anmeldetag (<a href=""https://www.gesetze-im-internet.de/markeng/__6.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 6 Abs. 2</a> i.V.m. <a href=""https://www.gesetze-im-internet.de/markeng/__33.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 33 Abs. 1</a>), ggf. der Prioritätstag (§§ <a href=""https://www.gesetze-im-internet.de/markeng/__34.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">34</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__35.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">35</a>); bei sonstigen Rechten der Zeitpunkt des Rechtserwerbs (<a href=""https://www.gesetze-im-internet.de/markeng/__6.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 6 Abs. 3</a>). Bei gleichem Zeitrang: Koexistenz (<a href=""https://www.gesetze-im-internet.de/markeng/__6.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 6 Abs. 4</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 5 MarkenRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 38 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__6.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 6 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__33.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 33 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__34.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 34 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__35.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 35 MarkenG</a><br><br>Rechtsprechung: BGH Baumann II (I ZR 241/14)"	Begriff Grundlagen
"Welcher Begriff wird so definiert?<br><br>Bei der Kollision von Kennzeichenrechten hat das Recht mit dem älteren Zeitrang Vorrang (<a href=""https://www.gesetze-im-internet.de/markeng/__6.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 6 Abs. 1</a>). Zeitrang der Registermarke ist der Anmeldetag (<a href=""https://www.gesetze-im-internet.de/markeng/__6.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 6 Abs. 2</a> i.V.m. <a href=""https://www.gesetze-im-internet.de/markeng/__33.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 33 Abs. 1</a>), ggf. der Prioritätstag (§§ <a href=""https://www.gesetze-im-internet.de/markeng/__34.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">34</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__35.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">35</a>); bei sonstigen Rechten der Zeitpunkt des Rechtserwerbs (<a href=""https://www.gesetze-im-internet.de/markeng/__6.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 6 Abs. 3</a>). Bei gleichem Zeitrang: Koexistenz (<a href=""https://www.gesetze-im-internet.de/markeng/__6.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 6 Abs. 4</a>)."	Vorrang und Zeitrang (Prioritätsprinzip)	Begriff Umkehr Grundlagen
"Definiere: Markenfähigkeit (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1</a>)"	"Abstrakte Eignung eines Zeichens, Waren oder Dienstleistungen eines Unternehmens von denen anderer Unternehmen zu unterscheiden (abstrakte Unterscheidungseignung). Alle Zeichenarten kommen in Betracht, insbes. Wörter, Abbildungen, Buchstaben, Zahlen, Klänge, dreidimensionale Gestaltungen, Farben.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 3 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1 MarkenG</a><br><br>Rechtsprechung: EuGH Libertel (C-104/01)"	Begriff Schutzvoraussetzungen
